Year,Month,Day,MaxTemp,MinTemp,MeanTemp,Humidity,Radiation,WS,ET,,
2000,9,4,32.2,24,27.5,78.6,13.36,1.4,3.159348104,,
2000,9,5,33,23.3,27.7,82.3,15.5,0.9,3.345156703,,
2000,9,6,33.4,24.5,26.9,83.6,13.98,1.1,3.125201581,,
2000,9,7,31.6,23.2,26.9,85,11.26,0.5,2.468671223,,
2000,9,8,33.4,24,28.2,80.3,20.06,1.2,4.241071251,,
2000,9,9,31.8,23.2,27.1,84.6,18.88,1.9,3.901974385,,
2000,9,10,29.8,23.5,25.5,90.9,8.88,1.6,2.028912878,,
2000,9,11,31.5,22,26.1,84.6,15.1,1.9,3.247413624,,
2000,9,12,32.2,22.6,27.4,84,15.82,0.7,3.300600323,,
2000,9,13,32,23.7,26.9,86.7,12.34,0.9,2.707716304,,
2000,9,14,32.6,23.1,27.5,84.1,20.68,1.1,4.189933302,,
2000,9,15,30.9,24.5,26.4,87.3,13.57,2,2.974079785,,
2000,9,16,31.8,23.1,27.4,83.7,22.97,1.3,4.538103459,,
2000,9,17,32,24.3,27.4,85.5,12.69,0.9,2.807173713,,
2000,9,18,29.7,24.4,26.2,91.1,9.27,1,2.075137678,,
2000,9,19,32.7,23.7,26.1,89.8,16.15,1,3.309087513,,
2000,9,20,32.2,23.2,26.5,88.9,18.83,0.8,3.762372969,,
2000,9,21,32.9,23.5,26,91.4,14.66,0.5,3.027759283,,
2000,9,22,31.2,23.5,26.4,88.2,15.95,1.3,3.269398106,,
2000,9,23,31.4,23.2,25.8,90.1,13.29,0.7,2.75518615,,
2000,9,24,32.9,22.8,26.2,86.7,18.63,0.9,3.756629174,,
2000,9,25,33.3,23.6,26.5,88.3,15.61,0.7,3.254687832,,
2000,9,26,33.2,23.6,27.5,84.3,20.91,1.1,4.271163462,,
2000,9,27,31.3,23.5,26.8,86.6,18.23,1.7,3.707424909,,
2000,9,28,30.8,23.6,27.1,84.7,17.2,1.6,3.57758383,,
2000,9,29,32,23.9,27.6,84.5,21.57,1.3,4.344707826,,
2000,9,30,31.1,23.4,26.9,86,13.97,1.3,3.004924791,,
2000,10,1,31,24,25.5,92,11.39,0.7,2.403330028,,
2000,10,2,31.3,23.8,26.2,88.1,12.13,0.5,2.579094803,,
2000,10,3,32.6,23.6,27,83.7,20.91,0.8,4.197704269,,
2000,10,4,32.2,24.1,26.8,87.3,18.78,1,3.808430516,,
2000,10,5,31.2,23.1,26.9,83.5,17.09,1.3,3.551182552,,
2000,10,6,32,25,27,86.7,9.64,0.5,2.201764675,,
2000,10,7,31.9,23.9,27.2,86.1,17.87,0.7,3.64643588,,
2000,10,8,32.1,24.3,27.9,84.9,19.82,1.1,4.064179179,,
2000,10,9,31.5,23.3,26.8,86.3,14.09,0.5,2.941052544,,
2000,10,10,31.2,23.9,26.1,87.3,11.69,1,2.565691103,,
2000,10,11,32.3,23.5,27.7,83.9,19.64,1.5,4.061310901,,
2000,10,12,32.6,24.4,28.2,82.7,19.24,1.7,4.105321213,,
2000,10,13,31.9,24.7,26.8,89.5,10.75,0.7,2.382657457,,
2000,10,14,30.2,24,26.2,91.2,9.66,0.7,2.125976554,,
2000,10,15,33.4,24.4,28.3,83.5,18.25,0.4,3.794772935,,
2000,10,16,34.2,24.5,28.8,81.9,20.29,0.7,4.261480555,,
2000,10,17,32.5,25.1,27,88.3,15.89,1,3.34360405,,
2000,10,18,31.4,22.6,27,85.8,15.64,1.1,3.256406928,,
2000,10,19,31.8,24.5,27.8,85.2,15.85,1,3.369675187,,
2000,10,20,29.9,24.4,26.5,89.5,9.3,1.5,2.162361312,,
2000,10,21,28.3,24,25.6,91.5,7.06,0.8,1.664534192,,
2000,10,22,31.5,23.5,27.2,85.2,17.13,1.5,3.575246849,,
2000,10,23,31.8,24.6,27.8,85.2,17.38,0.9,3.621899739,,
2000,10,24,32.6,24.3,28.3,81.1,21.95,0.7,4.447011036,,
2000,10,25,33.2,24.5,28.3,82,21.25,1.1,4.414622394,,
2000,10,26,32.7,24.3,27.6,83.4,13.95,0.5,3.000603811,,
2000,10,27,32.8,23.9,26.3,89.4,12.69,0.8,2.724400024,,
2000,10,28,31.4,24.5,26.9,88.2,14.7,1.3,3.10888535,,
2000,10,29,29.6,23.4,25.1,94.2,7.67,0.9,1.715077762,,
2000,10,30,31.4,23,27.1,87.5,18.87,0.6,3.764990172,,
2000,10,31,32.1,24.3,27.8,83.8,21.03,0.8,4.249801112,,
2000,11,1,31.1,24.1,27.2,86.2,13.87,0.8,2.95306505,,
2000,11,2,32.1,23.7,27.5,85.8,18.86,0.6,3.826165839,,
2000,11,3,29.9,24.7,26.5,90.8,8.91,0.6,2.006009899,,
2000,11,4,32.2,23.6,25.4,92.2,9.68,0.6,2.114234127,,
2000,11,5,33,23.3,26.8,85.7,18.4,0.5,3.734265147,,
2000,11,6,33.2,23,27.2,83.1,22.66,1.1,4.545259687,,
2000,11,7,33.4,23.9,27.8,81.7,16.89,0.6,3.560150951,,
2000,11,8,33,23.5,27.1,86.9,14.85,0.5,3.123534273,,
2000,11,9,32,24.5,26.8,85.7,9.69,0.9,2.285529846,,
2000,11,10,33.5,23,27.6,78.8,19.3,0.8,4.002872166,,
